Feature,Importance
A4_Score,0.1808641561854137
A6_Score,0.14772056442691278
A3_Score,0.14060456604736107
A9_Score,0.13870059150705955
age,0.12356909594759267
A5_Score,0.08394049108093629
A7_Score,0.06825858649151596
A8_Score,0.03519363897858205
A2_Score,0.035140990179921124
A10_Score,0.026336695920543936
A1_Score,0.019670623234160894
