Metric,Score
Accuracy,0.88125
Precision,0.9135002824326868
Recall,0.88125
F1 Score,0.888828194758128
ROC AUC,0.95361328125
MCC,0.7066739435636269
CV Mean,0.8546875
CV Std,0.03940475066537029
